fecha,Volumen
2015-01-02,20.25
2015-01-03,50.67
2015-01-04,39.635
2015-01-05,11.75
2015-01-06,10.25
2015-01-07,7
2015-01-08,8
2015-01-09,15
2015-01-10,38.8
2015-01-11,54.79
2015-01-12,11
2015-01-13,12.5
2015-01-14,11.065
2015-01-15,6.5
2015-01-16,13.97
2015-01-17,29.9
2015-01-18,63.95
2015-01-19,6.42
2015-01-20,8.45
2015-01-21,3.385
2015-01-22,17
2015-01-23,20.075
2015-01-24,36.7
2015-01-25,37.5
2015-01-26,12.5
2015-01-27,4.75
2015-01-28,13.605
2015-01-29,14.2
2015-01-30,16.75
2015-01-31,19.7
2015-02-01,47.75
2015-02-02,23.9
2015-02-03,9.25
2015-02-04,10.25
2015-02-05,6.5
2015-02-06,21.6
2015-02-07,42.45
2015-02-08,37.95
2015-02-09,9.95
2015-02-10,3
2015-02-11,8.753
2015-02-12,9
2015-02-13,18
2015-02-14,40.8
2015-02-15,40.4
2015-02-16,12
2015-02-17,14.5
2015-02-18,3.2
2015-02-19,9.115
2015-02-20,3
2015-02-21,37
2015-02-22,36.95
2015-02-23,5.5
2015-02-24,7.5
2015-02-25,6.25
2015-02-26,17.35
2015-02-27,9
2015-02-28,35.65
2015-03-01,46.75
2015-03-02,9.2
2015-03-03,15.2
2015-03-04,9.45
2015-03-05,6.75
2015-03-06,7.435
2015-03-07,29.55
2015-03-08,57.25
2015-03-09,6.5
2015-03-10,7.75
2015-03-11,16.5
2015-03-12,6
2015-03-13,6.3
2015-03-14,35.45
2015-03-15,42.7
2015-03-16,28.2
2015-03-17,11.2
2015-03-18,10.3
2015-03-19,8.85
2015-03-20,8.05
2015-03-21,23
2015-03-22,47.2
2015-03-23,11.1
2015-03-24,15
2015-03-25,7.8
2015-03-26,10.45
2015-03-27,5.25
2015-03-28,34.15
2015-03-29,30.85
2015-03-30,9.3
2015-03-31,21.5
2015-04-01,31
2015-04-04,37.07
2015-04-05,48.78
2015-04-06,6.8
2015-04-07,16.5
2015-04-08,11.75
2015-04-09,11.665
2015-04-10,20.22
2015-04-11,20.75
2015-04-12,33.15
2015-04-13,6
2015-04-14,7.25
2015-04-15,11
2015-04-16,8
2015-04-17,21.25
2015-04-18,26.75
2015-04-19,28.2
2015-04-20,7.5
2015-04-21,9.05
2015-04-22,6.5
2015-04-23,8.5
2015-04-24,23
2015-04-25,21.15
2015-04-26,41.05
2015-04-27,6.5
2015-04-28,8.5
2015-04-29,12.5
2015-04-30,11
2015-05-01,61.25
2015-05-03,22.18
2015-05-04,3.05
2015-05-05,11.8
2015-05-06,12.05
2015-05-07,4.9
2015-05-08,18
2015-05-09,20.15
2015-05-10,96.55
2015-05-11,7.5
2015-05-12,5.77
2015-05-13,11
2015-05-14,36.45
2015-05-16,31.1
2015-05-17,32.65
2015-05-18,8.25
2015-05-19,13.25
2015-05-20,15
2015-05-21,12
2015-05-22,16.25
2015-05-23,33.75
2015-05-24,29.75
2015-05-25,11.75
2015-05-26,5
2015-05-27,5.655
2015-05-28,14.3
2015-05-29,12
2015-05-30,33.85
2015-05-31,39.25
2015-06-01,8.75
2015-06-02,9.3
2015-06-03,9.85
2015-06-04,13.7
2015-06-05,16.25
2015-06-06,42.8
2015-06-07,44.125
2015-06-08,6.75
2015-06-09,10.25
2015-06-10,4.2
2015-06-11,11.2
2015-06-12,17.5
2015-06-13,25.85
2015-06-14,39.8
2015-06-15,8.4
2015-06-16,13.25
2015-06-17,5.3
2015-06-18,12.255
2015-06-19,12.65
2015-06-20,26.3
2015-06-21,72.8
2015-06-22,2
2015-06-23,8
2015-06-24,8.25
2015-06-25,7
2015-06-26,10
2015-06-27,24.745
2015-06-28,38.5
2015-06-29,5.7
2015-06-30,13
2015-07-01,8.89
2015-07-02,7.5
2015-07-03,20.3
2015-07-04,24.5
2015-07-05,46
2015-07-06,7
2015-07-07,5.75
2015-07-08,11.35
2015-07-09,10.3
2015-07-10,9.5
2015-07-11,23.7
2015-07-12,44
2015-07-13,7.7
2015-07-14,12.6
2015-07-15,10.8
2015-07-16,25.45
2015-07-17,11.45
2015-07-18,16.95
2015-07-19,28.8
2015-07-20,3.25
2015-07-21,8.05
2015-07-22,22
2015-07-23,8
2015-07-24,15.5
2015-07-25,25.6
2015-07-27,11
2015-07-28,9.45
2015-07-29,10.4
2015-07-30,5.3
2015-07-31,27.5
2015-08-01,32.2
2015-08-02,32.05
2015-08-03,8.6
2015-08-04,2.5
2015-08-05,7.2
2015-08-06,6.7
2015-08-07,5
2015-08-08,24.85
2015-08-09,33.3
2015-08-10,6.25
2015-08-11,5.7
2015-08-12,4.5
2015-08-13,10.6
2015-08-14,13.45
2015-08-15,39.1
2015-08-16,28.05
2015-08-17,7.7
2015-08-18,9.2
2015-08-19,12
2015-08-20,10.8
2015-08-21,10.5
2015-08-22,15.75
2015-08-23,36.25
2015-08-24,7.2
2015-08-25,5
2015-08-26,11.5
2015-08-27,10.3
2015-08-28,12.2
2015-08-29,29.25
2015-08-30,49.8
2015-08-31,5.5
2015-09-01,7.55
2015-09-02,9
2015-09-03,10
2015-09-04,9
2015-09-05,17.8
2015-09-06,25
2015-09-07,15.8
2015-09-09,10.2
2015-09-10,8.45
2015-09-11,11.25
2015-09-12,44.65
2015-09-13,40.45
2015-09-14,10.1
2015-09-15,4.85
2015-09-16,19.225
2015-09-17,3
2015-09-18,14.3
2015-09-19,34
2015-09-20,54.1
2015-09-21,8
2015-09-22,6.4
2015-09-23,10.2
2015-09-24,10
2015-09-25,8.75
2015-09-26,34
2015-09-27,40
2015-09-28,4
2015-09-29,12.6
2015-09-30,8
2015-10-01,24.45
2015-10-03,68.32
2015-10-05,5.5
2015-10-06,9
2015-10-07,15.75
2015-10-08,9.95
2015-10-09,22.25
2015-10-10,9.75
2015-10-11,42.75
2015-10-12,10
2015-10-13,8
2015-10-14,6.25
2015-10-15,5.1
2015-10-16,4.45
2015-10-17,30.51
2015-10-18,33.25
2015-10-19,7.25
2015-10-20,7.4
2015-10-21,2.95
2015-10-22,6
2015-10-23,9.3
2015-10-24,33.605
2015-10-25,41.65
2015-10-26,7.75
2015-10-27,2
2015-10-28,6.5
2015-10-29,12.67
2015-10-30,14.05
2015-10-31,19.75
2015-11-01,34.035
2015-11-02,16.5
2015-11-03,2.5
2015-11-04,4.3
2015-11-05,7.95
2015-11-06,16.35
2015-11-07,29.5
2015-11-08,34.5
2015-11-09,1
2015-11-10,11.45
2015-11-11,8
2015-11-12,11
2015-11-13,9.85
2015-11-14,14.9
2015-11-15,34.7
2015-11-16,21
2015-11-17,11.35
2015-11-18,10.25
2015-11-19,5
2015-11-20,17
2015-11-21,14
2015-11-22,30.35
2015-11-23,7.8
2015-11-24,6.55
2015-11-25,14.5
2015-11-26,4
2015-11-27,20.85
2015-11-28,36.45
2015-11-29,37.3
2015-11-30,6.5
2015-12-01,10.75
2015-12-02,9
2015-12-03,8.45
2015-12-04,13.25
2015-12-05,31.8
2015-12-06,42.216
2015-12-07,6.25
2015-12-08,14.405
2015-12-09,3.75
2015-12-10,15.25
2015-12-11,25
2015-12-12,19.15
2015-12-13,24.65
2015-12-14,12.45
2015-12-15,9.5
2015-12-16,19.3
2015-12-17,27.85
2015-12-18,14.2
2015-12-19,29.05
2015-12-20,40.9
2015-12-21,9.8
2015-12-22,6.05
2015-12-23,17.935
2015-12-24,16.75
2015-12-26,9
2015-12-27,32.05
2015-12-28,12.3
2015-12-29,12.5
2015-12-30,14.825
2015-12-31,7.5
2016-01-02,14.85
2016-01-03,54.3
2016-01-05,6.5
2016-01-08,9.155
2016-01-09,21
2016-01-10,41.045
2016-01-11,5.16
2016-01-12,6.12
2016-01-13,11.5
2016-01-14,7.35
2016-01-15,17.45
2016-01-16,33.27
2016-01-17,44.8
2016-01-18,7.2
2016-01-19,2.3
2016-01-20,2.25
2016-01-21,3.7
2016-01-22,13.8
2016-01-23,21.685
2016-01-24,41.695
2016-01-25,4.9
2016-01-26,7.55
2016-01-27,9.3
2016-01-28,7.5
2016-01-29,17.94
2016-01-30,23.63
2016-01-31,36.345
2016-02-01,20.6
2016-02-02,4.035
2016-02-03,10.375
2016-02-04,10.815
2016-02-05,12.635
2016-02-06,23.46
2016-02-07,52.37
2016-02-08,9.36
2016-02-09,11.5
2016-02-10,5.5
2016-02-11,13.445
2016-02-12,2.5
2016-02-13,29.859
2016-02-14,52.01
2016-02-15,3.5
2016-02-16,7.5
2016-02-17,7.93
2016-02-18,7.55
2016-02-19,10.7
2016-02-20,31.061
2016-02-21,40.25
2016-02-22,8.05
2016-02-23,8
2016-02-24,11.705
2016-02-25,6.45
2016-02-26,9.88
2016-02-27,49.1
2016-02-28,49.075
2016-02-29,7.75
2016-03-01,7.95
2016-03-02,5
2016-03-03,10.75
2016-03-04,6.558
2016-03-05,53.18
2016-03-06,60.551
2016-03-07,8.8
2016-03-08,8.25
2016-03-09,4.975
2016-03-10,11.9
2016-03-11,20.6
2016-03-12,35.227
2016-03-13,55.25
2016-03-14,9.95
2016-03-15,17.902
2016-03-17,10.4
2016-03-18,9.75
2016-03-19,53.97
2016-03-20,42.52
2016-03-21,14.635
2016-03-22,15
2016-03-23,9.948
2016-03-26,38.455
2016-03-27,61.86
2016-03-28,11.75
2016-03-29,5.6
2016-03-30,4
2016-03-31,12.95
2016-04-01,7.8
2016-04-02,33.945
2016-04-03,44
2016-04-04,9.175
2016-04-05,4.95
2016-04-06,1
2016-04-07,5.5
2016-04-08,15.7
2016-04-09,31.54
2016-04-10,38.775
2016-04-11,9.35
2016-04-12,3
2016-04-13,7.55
2016-04-14,13.25
2016-04-15,21.5
2016-04-16,20.4
2016-04-17,29.57
2016-04-18,7.2
2016-04-19,5.545
2016-04-20,2
2016-04-21,5
2016-04-22,23.45
2016-04-23,30.6
2016-04-24,55.9
2016-04-25,5.25
2016-04-26,7
2016-04-27,8
2016-04-28,13
2016-04-29,7.5
2016-04-30,33.27
2016-05-01,50.9
2016-05-02,7.4
2016-05-03,7.75
2016-05-04,6.75
2016-05-05,10.6
2016-05-06,14
2016-05-07,30.25
2016-05-08,31.35
2016-05-09,7.05
2016-05-10,74.375
2016-05-12,3
2016-05-13,12.365
2016-05-14,29.1
2016-05-15,53.61
2016-05-16,8.35
2016-05-17,3.35
2016-05-18,3.25
2016-05-19,13.95
2016-05-20,19.35
2016-05-21,26.5
2016-05-22,28.64
2016-05-23,8.89
2016-05-24,9.25
2016-05-25,1.175
2016-05-26,7.45
2016-05-27,16.75
2016-05-28,25.8
2016-05-29,49.923
2016-05-30,10.837
2016-05-31,15.735
2016-06-01,12
2016-06-02,15
2016-06-03,28
2016-06-04,22.26
2016-06-05,58.95
2016-06-06,6.5
2016-06-07,5.5
2016-06-08,9
2016-06-09,9.5
